nrow,ncol,intensity
16,41,0.114355
16,42,0.228709
16,43,0.178603
16,44,0.091736
16,45,0.048303
16,46,0.126089
16,47,0.391647
16,48,0.375546
16,49,0.093887
17,0,0.000000
17,1,0.000000
17,2,0.000000
17,3,0.000000
17,4,0.134135
17,5,0.312982
17,6,0.268270
17,7,0.491829
17,8,0.357694
17,9,0.266122
17,10,0.259577
17,11,0.174458
17,12,0.185293
17,13,0.178357
17,14,0.083518
17,15,0.000000
17,16,0.000000
17,17,0.003160
17,18,0.010906
17,19,0.015217
17,20,0.008918
17,21,0.001697
17,22,0.000000
17,23,0.000000
17,24,0.107248
17,25,0.333281
17,26,0.616281
17,27,0.348489
17,28,0.089154
17,29,0.025737
17,30,0.001014
17,31,0.002028
17,32,0.004055
17,33,0.025403
17,34,0.049381
17,35,0.317774
17,36,0.890488
17,37,0.622683
17,38,0.728665
17,39,0.613440
17,40,0.437020
17,41,0.261947
17,42,0.086866
17,43,0.043433
17,44,0.000000
17,45,0.093887
17,46,0.187773
17,47,0.469433
17,48,0.281660
17,49,0.000000
18,0,0.000000
18,1,0.000000
18,2,0.000000
18,3,0.044712
18,4,0.134135
18,5,0.268270
18,6,0.178847
18,7,0.178847
18,8,0.374292
18,9,0.461563
18,10,0.362778
18,11,0.542924
18,12,0.516222
18,13,0.246162
18,14,0.079498
18,15,0.000000
18,16,0.000000
18,17,0.001561
18,18,0.008346
18,19,0.015351
18,20,0.012613
18,21,0.004431
18,22,0.000000
18,23,0.096903
18,24,0.308392
18,25,0.636048
18,26,0.390497
18,27,0.218819
18,28,0.124306
18,29,0.043206
18,30,0.000000
18,31,0.001014
18,32,0.002028
18,33,0.005069
18,34,0.295810
18,35,0.557474
18,36,0.836926
18,37,0.378575
18,38,0.263287
18,39,0.439716
18,40,0.527938
18,41,0.263295
18,42,0.131648
18,43,0.000000
18,44,0.000000
18,45,0.000000
18,46,0.187773
18,47,0.563320
18,48,0.281660
18,49,0.093887
19,0,0.000000
19,1,0.000000
19,2,0.000000
19,3,0.044712
19,4,0.134135
19,5,0.223559
19,6,0.106022
19,7,0.033197
19,8,0.180714
19,9,0.328217
19,10,0.290762
19,11,0.177792
19,12,0.181816
19,13,0.356474
19,14,0.338561
19,15,0.181026
