nrow,ncol,intensity
29,29,0.085203
29,30,0.007088
29,31,0.042497
29,32,0.064113
29,33,0.096092
29,34,0.150291
29,35,0.292446
29,36,0.353326
29,37,0.539086
29,38,0.576885
29,39,0.531861
30,0,0.002441
30,1,0.003101
30,2,0.004172
30,3,0.001607
30,4,0.000000
30,5,0.000000
30,6,0.000000
30,7,0.006545
30,8,0.014930
30,9,0.005295
30,10,0.000000
30,11,0.000000
30,12,0.000000
30,13,0.005000
30,14,0.017834
30,15,0.013466
30,16,0.012271
30,17,0.009815
30,18,0.002762
30,19,0.002074
30,20,0.001856
30,21,0.166893
30,22,0.662977
30,23,0.331235
30,24,0.000000
30,25,0.000000
30,26,0.000000
30,27,0.246656
30,28,0.658662
30,29,0.580094
30,30,0.363837
30,31,0.264621
30,32,0.134825
30,33,0.132676
30,34,0.120015
30,35,0.320947
30,36,0.608037
30,37,0.242159
30,38,0.217851
30,39,0.160791
31,0,0.002083
31,1,0.002336
31,2,0.002865
31,3,0.000441
31,4,0.000000
31,5,0.000000
31,6,0.000000
31,7,0.005915
31,8,0.013313
31,9,0.004927
31,10,0.000000
31,11,0.000000
31,12,0.000000
31,13,0.002500
31,14,0.009038
31,15,0.019900
31,16,0.018201
31,17,0.005742
31,18,0.000980
31,19,0.001387
31,20,0.001227
31,21,0.166432
31,22,0.827215
31,23,0.330917
31,24,0.000000
31,25,0.000000
31,26,0.000000
31,27,0.081306
31,28,0.246656
31,29,0.412006
31,30,0.631605
31,31,0.488132
31,32,0.210685
31,33,0.067883
31,34,0.175773
31,35,0.486448
31,36,0.234402
31,37,0.000000
31,38,0.000000
31,39,0.000000
32,0,0.001712
32,1,0.001755
32,2,0.001177
32,3,0.000441
32,4,0.000000
32,5,0.000000
32,6,0.002449
32,7,0.011159
32,8,0.017571
32,9,0.002132
32,10,0.000000
32,11,0.000000
32,12,0.000000
32,13,0.000000
32,14,0.003269
32,15,0.014623
32,16,0.027386
32,17,0.009458
32,18,0.000000
32,19,0.000000
32,20,0.000000
32,21,0.220844
32,22,0.716894
32,23,0.275206
32,24,0.000000
32,25,0.000000
32,26,0.000000
32,27,0.000000
32,28,0.000000
32,29,0.000000
32,30,0.136398
32,31,0.501240
32,32,0.305478
32,33,0.077583
32,34,0.184255
32,35,0.526905
32,36,0.200282
32,37,0.000000
32,38,0.000000
32,39,0.000000
33,0,0.000832
33,1,0.000520
33,2,0.000244
33,3,0.000000
33,4,0.000000
33,5,0.000000
33,6,0.004566
33,7,0.014595
33,8,0.008690
33,9,0.002132
33,10,0.000000
33,11,0.000000
33,12,0.000000
33,13,0.000000
33,14,0.000000
33,15,0.006847
33,16,0.027386
33,17,0.013693
33,18,0.000000
33,19,0.075984
33,20,0.158102
33,21,0.378946
33,22,0.632530
33,23,0.275206
33,24,0.000000
33,25,0.000000
33,26,0.000000
33,27,0.000000
33,28,0.000000
33,29,0.000000
33,30,0.000000
33,31,0.234054
33,32,0.581047
33,33,0.278002
33,34,0.351760
33,35,0.474660
33,36,0.088284
33,37,0.000000
33,38,0.000000
33,39,0.000000
34,0,0.000000
34,1,0.000000
34,2,0.000000
34,3,0.000000
34,4,0.000000
34,5,0.001239
34,6,0.008600
34,7,0.012900
34,8,0.003763
34,9,0.000000
34,10,0.000000
34,11,0.000000
34,12,0.000000
34,13,0.000000
34,14,0.000000
34,15,0.000000
34,16,0.013693
34,17,0.027386
34,18,0.110050
34,19,0.288045
34,20,0.408434
34,21,0.422334
34,22,0.409533
34,23,0.109856
34,24,0.000000
34,25,0.000000
34,26,0.000000
34,27,0.000000
34,28,0.000000
34,29,0.000000
34,30,0.002165
34,31,0.116315
34,32,0.224280
34,33,0.395159
34,34,0.451745
34,35,0.276543
34,36,0.091079
34,37,0.000000
34,38,0.000000
34,39,0.000000
35,0,0.004000
35,1,0.002500
35,2,0.000000
35,3,0.000000
35,4,0.000000
35,5,0.002503
35,6,0.010859
35,7,0.008305
35,8,0.001864
35,9,0.000000
35,10,0.000000
35,11,0.000000
35,12,0.000000
35,13,0.000000
35,14,0.000000
35,15,0.000000
35,16,0.006847
35,17,0.191136
35,18,0.447596
35,19,0.498118
35,20,0.290941
35,21,0.273224
35,22,0.161578
35,23,0.000000
35,24,0.000000
35,25,0.000000
35,26,0.000000
35,27,0.000000
35,28,0.000000
35,29,0.000000
35,30,0.004330
35,31,0.010825
35,32,0.004330
35,33,0.084657
35,34,0.085287
35,35,0.093672
35,36,0.005590
35,37,0.000000
35,38,0.000000
35,39,0.000000
